,title,url,level
0,           CROSS RAY (feat.月下Lia) S4 & S7 | PIU XX 2.08 Update        ,https://youtube.com/watch?v=0ZPOOFCWw9I&list=PLCS0nOWWS-PmFCOuQV05Vv-hLxlpyfFWy&index=1,10 under
1,           Cygnus S4 & S7 | PIU XX 2.08 Update        ,https://youtube.com/watch?v=CzekZxzA4uA&list=PLCS0nOWWS-PmFCOuQV05Vv-hLxlpyfFWy&index=2,10 under
2,           Tropicanic D6 | PIU XX 2.08 Update        ,https://youtube.com/watch?v=3xajlxlScaw&list=PLCS0nOWWS-PmFCOuQV05Vv-hLxlpyfFWy&index=3,10 under
3,           Tropicanic S7 & S11 | PIU XX 2.08 Update        ,https://youtube.com/watch?v=7XyE5r_3BFU&list=PLCS0nOWWS-PmFCOuQV05Vv-hLxlpyfFWy&index=4,10 under
4,           Tepris S7        ,https://youtube.com/watch?v=YT7VXl8K90M&list=PLCS0nOWWS-PmFCOuQV05Vv-hLxlpyfFWy&index=5,10 under
5,           Tepris D9        ,https://youtube.com/watch?v=uPx38BJJlmE&list=PLCS0nOWWS-PmFCOuQV05Vv-hLxlpyfFWy&index=6,10 under
6,           Arcade D6~D9 Song List        ,https://youtube.com/watch?v=k-Qc2nsqrcg&list=PLCS0nOWWS-PmFCOuQV05Vv-hLxlpyfFWy&index=7,10 under
7,           Arcade S6~S9 Song List        ,https://youtube.com/watch?v=tga-gkAzeSo&list=PLCS0nOWWS-PmFCOuQV05Vv-hLxlpyfFWy&index=8,10 under
8,           Pumping Up S9(Update for 2.07) | PIU XX 2.07 Update        ,https://youtube.com/watch?v=OPgoDZU_4Xw&list=PLCS0nOWWS-PmFCOuQV05Vv-hLxlpyfFWy&index=9,10 under
9,           Free Style S5 & S9(Update for 2.07) | PIU XX 2.07 Update        ,https://youtube.com/watch?v=diV017PS44Y&list=PLCS0nOWWS-PmFCOuQV05Vv-hLxlpyfFWy&index=10,10 under
10,           Kokugen Kairou Labyrinth S9 & S12 | PIU XX 2.07 Update        ,https://youtube.com/watch?v=bDwmpClyB-c&list=PLCS0nOWWS-PmFCOuQV05Vv-hLxlpyfFWy&index=11,10 under
11,           Sugar Plum S4 & S7 | PIU XX 2.07 Update        ,https://youtube.com/watch?v=kuM3nYhFxqo&list=PLCS0nOWWS-PmFCOuQV05Vv-hLxlpyfFWy&index=12,10 under
12,           Wedding Crashers - SHORT CUT - S4 & S7 (Update for 2.06) | PIU XX 2.06 Update        ,https://youtube.com/watch?v=Q6NZPRAUoVs&list=PLCS0nOWWS-PmFCOuQV05Vv-hLxlpyfFWy&index=13,10 under
13,           Wedding Crashers - SHORT CUT - D6 (Update for 2.06) | PIU XX 2.06 Update        ,https://youtube.com/watch?v=SJsMhZXtIXQ&list=PLCS0nOWWS-PmFCOuQV05Vv-hLxlpyfFWy&index=14,10 under
14,           Pop Sequence S7 & S11 | PIU XX 2.06 Update        ,https://youtube.com/watch?v=Qq0JN99ZMVY&list=PLCS0nOWWS-PmFCOuQV05Vv-hLxlpyfFWy&index=15,10 under
15,           Paved Garden S8 & S12 | PIU XX 2.06 Update        ,https://youtube.com/watch?v=AVIoZ8dqqGY&list=PLCS0nOWWS-PmFCOuQV05Vv-hLxlpyfFWy&index=16,10 under
16,           Slapstick Parfait S3 & S7 | PIU XX 2.06 Update        ,https://youtube.com/watch?v=F6XgxWVR0Cw&list=PLCS0nOWWS-PmFCOuQV05Vv-hLxlpyfFWy&index=17,10 under
17,           Night Duty(야근) D8 | PIU XX 2.06 Update        ,https://youtube.com/watch?v=PqrXR7aNnT0&list=PLCS0nOWWS-PmFCOuQV05Vv-hLxlpyfFWy&index=18,10 under
18,           Night Duty(야근) S9 & S14 | PIU XX 2.06 Update        ,https://youtube.com/watch?v=tZbjPDBB1Lw&list=PLCS0nOWWS-PmFCOuQV05Vv-hLxlpyfFWy&index=19,10 under
19,           Night Duty(야근) S3 & S6 | PIU XX 2.06 Update        ,https://youtube.com/watch?v=L1_NC7e2UhY&list=PLCS0nOWWS-PmFCOuQV05Vv-hLxlpyfFWy&index=20,10 under
20,           Harmagedon S4 & S6 | PIU XX 2.06 Update        ,https://youtube.com/watch?v=c-Z_Wpaas44&list=PLCS0nOWWS-PmFCOuQV05Vv-hLxlpyfFWy&index=21,10 under
21,           BRAIN POWER S8 & S11 | PIU XX 2.05 Update        ,https://youtube.com/watch?v=-ilWbjtalac&list=PLCS0nOWWS-PmFCOuQV05Vv-hLxlpyfFWy&index=22,10 under
22,           BRAIN POWER D8 | PIU XX 2.05 Update        ,https://youtube.com/watch?v=jYLKSYKPmJ4&list=PLCS0nOWWS-PmFCOuQV05Vv-hLxlpyfFWy&index=23,10 under
23,           Macaron Day S4 & S7(Update for 2.05) | PIU XX 2.05 Update        ,https://youtube.com/watch?v=r1DqmDt1TQM&list=PLCS0nOWWS-PmFCOuQV05Vv-hLxlpyfFWy&index=24,10 under
24,           District 1 S6(Update for 2.05) | PIU XX 2.05 Update        ,https://youtube.com/watch?v=IeEcLASsgZM&list=PLCS0nOWWS-PmFCOuQV05Vv-hLxlpyfFWy&index=25,10 under
25,           Removable Disk0 S9(Update for 2.05) | PIU XX 2.05 Update        ,https://youtube.com/watch?v=tGZ56UWUyzM&list=PLCS0nOWWS-PmFCOuQV05Vv-hLxlpyfFWy&index=26,10 under
26,           Jonathan's Dream S4 & S6(Update for 2.05) | PIU XX 2.05 Update        ,https://youtube.com/watch?v=GBFcaNDc1os&list=PLCS0nOWWS-PmFCOuQV05Vv-hLxlpyfFWy&index=27,10 under
27,           Radetzky Can Can S8 & S13(Update for 2.05) | PIU XX 2.05 Update        ,https://youtube.com/watch?v=QGpkLltUbqY&list=PLCS0nOWWS-PmFCOuQV05Vv-hLxlpyfFWy&index=28,10 under
28,           The Reverie S8 & S11 | PIU XX 2.05 Update        ,https://youtube.com/watch?v=E_vedqRd9uU&list=PLCS0nOWWS-PmFCOuQV05Vv-hLxlpyfFWy&index=29,10 under
29,           Life is PIANO S7 & S10 | PIU XX 2.05 Update        ,https://youtube.com/watch?v=fXTeNtTiSfI&list=PLCS0nOWWS-PmFCOuQV05Vv-hLxlpyfFWy&index=30,10 under
30,           God Mode 2.0 S8 & S13 | PIU XX 2.05 Update        ,https://youtube.com/watch?v=KphiHqfCWa8&list=PLCS0nOWWS-PmFCOuQV05Vv-hLxlpyfFWy&index=31,10 under
31,           Solitary S8 & S9        ,https://youtube.com/watch?v=XD1gqxwpXY8&list=PLCS0nOWWS-PmFCOuQV05Vv-hLxlpyfFWy&index=32,10 under
32,           Solitary S4 & S6        ,https://youtube.com/watch?v=Sh9TuLilfJY&list=PLCS0nOWWS-PmFCOuQV05Vv-hLxlpyfFWy&index=33,10 under
33,           Slam S6 & S9        ,https://youtube.com/watch?v=ekaeIooJEQA&list=PLCS0nOWWS-PmFCOuQV05Vv-hLxlpyfFWy&index=34,10 under
34,           Slam D6        ,https://youtube.com/watch?v=X70kBXXOcaM&list=PLCS0nOWWS-PmFCOuQV05Vv-hLxlpyfFWy&index=35,10 under
35,           Rolling Christmas S5 & S8        ,https://youtube.com/watch?v=SyQpXli-N2w&list=PLCS0nOWWS-PmFCOuQV05Vv-hLxlpyfFWy&index=36,10 under
36,           Oh! Rosa D7        ,https://youtube.com/watch?v=TWUl2Cj0PVo&list=PLCS0nOWWS-PmFCOuQV05Vv-hLxlpyfFWy&index=37,10 under
37,           Naissance S7 & S8 (pre S8 → S7 & S7 → S8)        ,https://youtube.com/watch?v=M-AStYMSWpQ&list=PLCS0nOWWS-PmFCOuQV05Vv-hLxlpyfFWy&index=38,10 under
38,           Naissance D7        ,https://youtube.com/watch?v=cZfIrwV9hoM&list=PLCS0nOWWS-PmFCOuQV05Vv-hLxlpyfFWy&index=39,10 under
39,           Final Audition S7 & S9        ,https://youtube.com/watch?v=gvdOVI6-XcQ&list=PLCS0nOWWS-PmFCOuQV05Vv-hLxlpyfFWy&index=40,10 under
40,           Final Audition S2 & S6        ,https://youtube.com/watch?v=GLmHNnEaM0s&list=PLCS0nOWWS-PmFCOuQV05Vv-hLxlpyfFWy&index=41,10 under
41,           Final Audition 2 S7 & S10        ,https://youtube.com/watch?v=GQXma7rdnfg&list=PLCS0nOWWS-PmFCOuQV05Vv-hLxlpyfFWy&index=42,10 under
42,           Betrayer(사랑가) S5 & S8        ,https://youtube.com/watch?v=1S70ikkFsLk&list=PLCS0nOWWS-PmFCOuQV05Vv-hLxlpyfFWy&index=43,10 under
43,           An Interesting View S6        ,https://youtube.com/watch?v=dXqE69gXEnI&list=PLCS0nOWWS-PmFCOuQV05Vv-hLxlpyfFWy&index=44,10 under
44,           All I Want For X-mas S3 & S6        ,https://youtube.com/watch?v=0-Wqhp9M2jk&list=PLCS0nOWWS-PmFCOuQV05Vv-hLxlpyfFWy&index=45,10 under
45,           All I Want For X-mas D7        ,https://youtube.com/watch?v=sZ0udzECbpU&list=PLCS0nOWWS-PmFCOuQV05Vv-hLxlpyfFWy&index=46,10 under
46,           We will meet again S4 & S8 (pre S3 → S4)        ,https://youtube.com/watch?v=qwg07Kvhatk&list=PLCS0nOWWS-PmFCOuQV05Vv-hLxlpyfFWy&index=47,10 under
47,           We will meet again D8        ,https://youtube.com/watch?v=jkvAB7raW9s&list=PLCS0nOWWS-PmFCOuQV05Vv-hLxlpyfFWy&index=48,10 under
